nervous_ans,hopeless_ans,restless_ans,depressed_ans,effort_ans,worthless_ans,Participant-ID,Email,home_lang_ans,comfortability_ans,isolated_school_ans,criticise_school_ans,opinion_school_ans,bullying_ans,future_ans,intelligence1_ans,covid_ans,intelligence2_ans,man_chores_opinion,man_violence_opinion,man_sexual_opinion,man_fears_opinion,gay_man_opinion,soft_sport_boys_ans,gender_diff_ans,nerds_ans,men_better_stem_ans,how_happy_ans
3.0,5.0,5.0,1.0,3.0,3.0,37869,Wesley.Long@school.edu,0.0,6.0,5.0,2.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,2.0,4.0,3.0,2.0,4.0,6.0,2.0,4.0,10.0
2.0,2.0,2.0,1.0,2.0,1.0,37958,Harrison.Howard@school.edu,0.0,6.0,3.0,3.0,5.0,6.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,9.0
2.0,2.0,2.0,1.0,3.0,2.0,38015,Daniel.White@school.edu,1.0,6.0,5.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,1.0,2.0,5.0,5.0,6.0,3.0,4.0,7.0
2.0,5.0,4.0,1.0,3.0,1.0,37882,Gideon.Shea@school.edu,0.0,6.0,2.0,5.0,2.0,7.0,6.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,9.0
3.0,2.0,5.0,1.0,2.0,1.0,37990,David.Garcia@school.edu,0.0,7.0,2.0,5.0,2.0,7.0,6.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,10.0
4.0,1.0,5.0,1.0,2.0,1.0,37888,Cassian.Jarvis@school.edu,0.0,6.0,2.0,5.0,3.0,6.0,7.0,1.0,2.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,9.0
3.0,2.0,4.0,4.0,4.0,4.0,38021,Victor.Hodge@school.edu,1.0,6.0,4.0,7.0,3.0,7.0,7.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0
2.0,2.0,3.0,2.0,4.0,2.0,37994,Maxwell.Richardson@school.edu,1.0,6.0,1.0,5.0,4.0,7.0,6.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,4.0
1.0,1.0,3.0,2.0,1.0,2.0,37899,Mateo.Ramirez@school.edu,1.0,5.0,2.0,1.0,7.0,5.0,3.0,1.0,1.0,3.0,4.0,2.0,7.0,5.0,1.0,5.0,7.0,1.0,1.0,5.0
3.0,3.0,4.0,2.0,2.0,2.0,38012,Gabriel.Gray@school.edu,0.0,5.0,3.0,3.0,3.0,6.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,3.0,7.0,2.0,3.0,6.0
1.0,1.0,1.0,2.0,1.0,1.0,37900,Lucas.Robinson@school.edu,1.0,5.0,2.0,7.0,2.0,7.0,7.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,10.0
2.0,1.0,1.0,3.0,2.0,1.0,37930,Jasper.Luna@school.edu,1.0,7.0,2.0,6.0,3.0,7.0,6.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,8.0
3.0,3.0,2.0,2.0,1.0,1.0,37854,Christian.Campbell@school.edu,0.0,7.0,1.0,5.0,2.0,7.0,7.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,7.0
1.0,1.0,2.0,1.0,1.0,1.0,38017,Oliver.Jones@school.edu,1.0,6.0,2.0,7.0,3.0,7.0,7.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,10.0
2.0,2.0,2.0,1.0,3.0,1.0,37982,Hayden.West@school.edu,0.0,7.0,2.0,6.0,2.0,7.0,7.0,5.0,4.0,5.0,5.0,4.0,2.0,4.0,2.0,2.0,6.0,1.0,4.0,8.0
1.0,2.0,2.0,1.0,2.0,1.0,37877,Ethan.Williams@school.edu,0.0,7.0,1.0,4.0,2.0,7.0,6.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,6.0,3.0,1.0,9.0
3.0,2.0,2.0,2.0,3.0,2.0,37874,Killian.Kent@school.edu,0.0,6.0,2.0,5.0,5.0,6.0,4.0,2.0,4.0,6.0,2.0,3.0,2.0,3.0,2.0,2.0,6.0,2.0,1.0,8.0
3.0,1.0,4.0,1.0,2.0,1.0,37892,Hendrix.Huff@school.edu,0.0,7.0,1.0,6.0,2.0,7.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,10.0
3.0,2.0,2.0,1.0,3.0,1.0,37896,Hunter.Roberts@school.edu,1.0,6.0,2.0,6.0,3.0,6.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0
3.0,3.0,4.0,2.0,4.0,4.0,37884,Emmanuel.Chambers@school.edu,0.0,5.0,4.0,5.0,5.0,7.0,4.0,2.0,5.0,4.0,3.0,1.0,1.0,3.0,1.0,5.0,7.0,2.0,2.0,8.0
2.0,1.0,3.0,2.0,3.0,1.0,38020,Thomas.Carter@school.edu,1.0,5.0,2.0,6.0,4.0,6.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,7.0
2.0,2.0,2.0,1.0,2.0,1.0,38000,Oscar.Reynolds@school.edu,0.0,7.0,2.0,2.0,2.0,3.0,7.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
4.0,2.0,4.0,1.0,1.0,1.0,37978,Isaac.Nelson@school.edu,1.0,2.0,5.0,4.0,6.0,1.0,3.0,2.0,1.0,3.0,6.0,2.0,4.0,1.0,6.0,3.0,7.0,1.0,5.0,4.0
3.0,3.0,4.0,3.0,2.0,4.0,37983,Jude.Graham@school.edu,1.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0
4.0,4.0,4.0,3.0,4.0,2.0,38018,Phillip.Lozano@school.edu,1.0,4.0,4.0,1.0,5.0,3.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,7.0
2.0,2.0,3.0,1.0,2.0,1.0,37849,Graham.Glenn@school.edu,0.0,7.0,1.0,7.0,1.0,7.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,4.0,7.0
3.0,1.0,5.0,2.0,3.0,1.0,37999,Lucian.Wu@school.edu,0.0,6.0,2.0,3.0,4.0,4.0,5.0,5.0,1.0,7.0,4.0,1.0,3.0,1.0,3.0,5.0,5.0,4.0,3.0,8.0
1.0,1.0,1.0,1.0,1.0,1.0,37851,Spencer.Woodward@school.edu,1.0,4.0,5.0,3.0,7.0,3.0,1.0,6.0,4.0,3.0,6.0,4.0,2.0,2.0,7.0,5.0,7.0,4.0,6.0,4.0
4.0,3.0,4.0,3.0,3.0,4.0,37954,Zayn.Gould@school.edu,0.0,4.0,1.0,2.0,6.0,3.0,5.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,7.0,4.0,2.0,4.0
4.0,3.0,3.0,3.0,3.0,3.0,37946,Tyson.Bush@school.edu,0.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,4.0,4.0,1.0,1.0,7.0,1.0,1.0,5.0,1.0,2.0,6.0
3.0,2.0,2.0,1.0,4.0,1.0,38019,Sebastian.Gonzalez@school.edu,0.0,6.0,2.0,2.0,6.0,1.0,7.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,8.0
4.0,3.0,5.0,4.0,3.0,2.0,37975,Maximus.Cole@school.edu,0.0,6.0,4.0,5.0,2.0,7.0,6.0,3.0,2.0,6.0,1.0,1.0,4.0,2.0,1.0,6.0,6.0,4.0,3.0,6.0
2.0,1.0,4.0,3.0,4.0,3.0,37959,Matthew.Martin@school.edu,0.0,6.0,4.0,6.0,6.0,7.0,7.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,6.0,4.0,3.0,6.0
2.0,1.0,2.0,1.0,2.0,1.0,37868,River.Ellis@school.edu,0.0,7.0,3.0,6.0,3.0,6.0,6.0,4.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,9.0
2.0,2.0,2.0,1.0,1.0,1.0,37963,Dominic.Rogers@school.edu,1.0,6.0,2.0,4.0,6.0,5.0,7.0,3.0,6.0,2.0,3.0,4.0,5.0,3.0,2.0,3.0,6.0,3.0,6.0,8.0
2.0,1.0,3.0,1.0,1.0,1.0,37870,Lucius.Franco@school.edu,1.0,6.0,2.0,3.0,4.0,5.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,9.0
2.0,3.0,3.0,2.0,4.0,2.0,37996,Adrian.Cook@school.edu,1.0,6.0,2.0,5.0,3.0,3.0,7.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,7.0
2.0,1.0,2.0,1.0,3.0,1.0,37967,Damian.Harrison@school.edu,0.0,6.0,3.0,5.0,4.0,3.0,6.0,3.0,5.0,4.0,2.0,2.0,1.0,3.0,5.0,2.0,6.0,5.0,4.0,9.0
2.0,1.0,2.0,1.0,2.0,1.0,37927,Benjamin.Miller@school.edu,0.0,7.0,2.0,6.0,2.0,7.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,9.0
2.0,1.0,1.0,1.0,1.0,1.0,38005,Anders.Crosby@school.edu,1.0,3.0,5.0,5.0,4.0,2.0,2.0,5.0,7.0,5.0,5.0,1.0,1.0,2.0,7.0,1.0,7.0,1.0,4.0,10.0
4.0,4.0,4.0,2.0,4.0,3.0,37964,Aiden.Brown@school.edu,0.0,6.0,4.0,3.0,6.0,4.0,5.0,3.0,7.0,5.0,3.0,4.0,4.0,1.0,3.0,6.0,5.0,4.0,5.0,4.0
3.0,3.0,3.0,3.0,3.0,3.0,37993,Brody.Flores@school.edu,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
2.0,1.0,2.0,1.0,1.0,1.0,37981,Flynn.Stuart@school.edu,1.0,6.0,3.0,5.0,2.0,7.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,8.0
3.0,2.0,4.0,2.0,3.0,2.0,37940,Andrew.Martinez@school.edu,1.0,6.0,3.0,6.0,3.0,5.0,7.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
1.0,1.0,1.0,1.0,1.0,1.0,37939,Elias.Cooper@school.edu,1.0,7.0,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,10.0
1.0,1.0,1.0,1.0,1.0,1.0,37897,Chase.Wood@school.edu,1.0,7.0,1.0,7.0,2.0,7.0,5.0,6.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,9.0
2.0,3.0,2.0,1.0,3.0,2.0,37919,Dylan.Scott@school.edu,0.0,2.0,6.0,1.0,5.0,5.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0
2.0,1.0,2.0,1.0,5.0,1.0,38016,Anthony.Hill@school.edu,1.0,6.0,2.0,5.0,3.0,7.0,6.0,4.0,2.0,5.0,3.0,2.0,4.0,6.0,1.0,2.0,7.0,2.0,1.0,9.0
3.0,2.0,4.0,1.0,2.0,1.0,37856,Titus.Serrano@school.edu,1.0,4.0,4.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0
4.0,1.0,4.0,3.0,5.0,1.0,37918,Ignatius.Gaines@school.edu,0.0,6.0,2.0,4.0,3.0,5.0,5.0,6.0,4.0,6.0,4.0,5.0,3.0,6.0,7.0,7.0,1.0,7.0,1.0,9.0
2.0,3.0,4.0,3.0,3.0,3.0,37977,Owen.Hernandez@school.edu,0.0,3.0,4.0,1.0,6.0,2.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0
4.0,4.0,3.0,3.0,4.0,4.0,37908,Kingston.Hamilton@school.edu,1.0,5.0,6.0,5.0,5.0,6.0,2.0,4.0,7.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,6.0,1.0,1.0,3.0
3.0,2.0,3.0,1.0,4.0,2.0,37995,Julian.King@school.edu,1.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,7.0,4.0,5.0,4.0,3.0,6.0,4.0,7.0,6.0,6.0,6.0
3.0,2.0,2.0,2.0,2.0,2.0,37912,Leo.Brewer@school.edu,0.0,6.0,2.0,5.0,3.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
4.0,2.0,3.0,1.0,5.0,2.0,38011,Kieran.Pruitt@school.edu,0.0,6.0,2.0,4.0,3.0,6.0,7.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,7.0,2.0,9.0
2.0,1.0,5.0,1.0,2.0,1.0,37905,Henry.Wright@school.edu,0.0,6.0,3.0,5.0,5.0,7.0,6.0,2.0,7.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,5.0,4.0,6.0,8.0
3.0,2.0,2.0,1.0,1.0,1.0,37881,Jesse.Hawkins@school.edu,1.0,6.0,2.0,4.0,2.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,10.0
3.0,1.0,2.0,1.0,2.0,1.0,37907,Jonah.Russell@school.edu,0.0,6.0,5.0,4.0,5.0,3.0,7.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,6.0,5.0,5.0,1.0,3.0,7.0
2.0,1.0,1.0,1.0,1.0,1.0,37924,Nolan.Morgan@school.edu,1.0,7.0,1.0,6.0,3.0,6.0,7.0,2.0,5.0,4.0,2.0,1.0,2.0,4.0,1.0,3.0,4.0,2.0,1.0,10.0
2.0,1.0,1.0,1.0,2.0,1.0,37960,Thaddeus.Noble@school.edu,1.0,7.0,1.0,5.0,6.0,6.0,7.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0
2.0,2.0,4.0,2.0,3.0,3.0,38009,Jett.Nguyen@school.edu,0.0,5.0,6.0,1.0,5.0,6.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
3.0,1.0,3.0,1.0,3.0,2.0,37931,Cole.Ward@school.edu,1.0,7.0,1.0,7.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
2.0,1.0,4.0,1.0,4.0,2.0,37923,Wilson.Zan@school.edu,0.0,6.0,3.0,1.0,3.0,2.0,3.0,5.0,1.0,7.0,7.0,4.0,2.0,2.0,6.0,3.0,7.0,3.0,4.0,5.0
